ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud
1,31161.480790882026,Valencia,1,3,Electrónica,131.5718605257502,Julio,2022,53,29,1.302420162467003,0,39.469907,-0.376288
2,30880.90461026161,Sevilla,1,6,Moda,43.6555100891286,Abril,2022,55,28,2.4627229930454853,0,37.389092,-5.984459
3,24237.173141699925,Barcelona,1,2,Electrónica,188.7221450279832,Noviembre,2021,28,11,1.9015250720270633,1,41.385064,2.173404
4,22496.15803396413,Barcelona,0,5,Libros,65.89068558228242,Agosto,2020,50,1,1.7833323365370801,2,41.385064,2.173404
5,30825.11399054669,Barcelona,1,2,Electrónica,46.38453970985004,Mayo,2020,41,43,1.5632117955707043,1,41.385064,2.173404
6,25720.35541085316,Barcelona,1,6,Libros,145.37083786488412,Julio,2021,40,19,3.4896545662639866,1,41.385064,2.173404
7,29801.819289801904,Valencia,0,4,Hogar,1.1042023874619544,Octubre,2020,32,9,4.125287422989221,3,39.469907,-0.376288
8,27326.68629074968,Valencia,0,3,Hogar,1.5387104540800602,Marzo,2021,44,27,3.3131935976814426,4,39.469907,-0.376288
9,21057.517475097517,Barcelona,1,5,Alimentos,49.45364737348612,Julio,2021,28,34,1.5878508383528387,1,41.385064,2.173404
10,31786.52270968317,Sevilla,1,6,Moda,7.482513167639166,Noviembre,2022,68,44,4.244495079733884,0,37.389092,-5.984459
11,27927.340973050545,Madrid,1,3,Alimentos,22.863603832553245,Noviembre,2021,67,4,3.543818828654914,0,40.416775,-3.70379
12,30400.993562704072,Madrid,1,4,Libros,82.75812868100617,Agosto,2022,34,36,2.552662824507982,4,40.416775,-3.70379
13,25534.398631853885,Sevilla,1,8,Alimentos,324.4901218851292,Mayo,2020,68,18,3.696521182144252,2,37.389092,-5.984459
14,28325.913763026332,Barcelona,1,4,Electrónica,169.74914851826256,Abril,2020,31,15,2.0396199169713314,0,41.385064,2.173404
15,37801.9007056644,Valencia,1,10,Libros,143.7618201976125,Agosto,2020,44,13,2.380768833976842,2,39.469907,-0.376288
16,30642.755000355406,Madrid,1,4,Hogar,69.48325140732948,Agosto,2020,35,19,4.66994337252796,0,40.416775,-3.70379
17,32747.88172531334,Zaragoza,1,5,Moda,536.9264687172432,Marzo,2022,45,6,2.1620180226856816,1,41.648823,-0.889085
18,23645.6409656198,Zaragoza,1,10,Libros,101.17260531493366,Junio,2020,68,12,2.8799530726317464,2,41.648823,-0.889085
19,41945.17978696231,Sevilla,1,3,Libros,18.224202023315115,Mayo,2021,64,37,4.5605645495840585,0,37.389092,-5.984459
20,39217.068791602665,Barcelona,1,4,Electrónica,191.9787952419908,Febrero,2021,64,17,3.83088540107011,2,41.385064,2.173404
21,36817.17745475852,Madrid,1,7,Moda,24.171188974132583,Agosto,2021,21,23,1.248812904658811,1,40.416775,-3.70379
22,34143.829888024375,Barcelona,1,5,Hogar,84.69215548465311,Diciembre,2022,24,26,1.5892121771158814,1,41.385064,2.173404
23,30075.71639129932,Madrid,1,10,Libros,141.61640594394922,Junio,2020,62,29,1.0313663630876673,1,40.416775,-3.70379
24,32210.370084333656,Sevilla,1,4,Libros,414.6482004597833,Febrero,2020,52,33,3.5236871609166536,2,37.389092,-5.984459
25,35240.09871997476,Sevilla,1,2,Electrónica,136.0645849311906,Diciembre,2020,65,27,2.7906937016416733,0,37.389092,-5.984459
26,26857.151262621468,Zaragoza,1,3,Alimentos,242.30610241850204,Mayo,2022,26,25,1.5370994036091021,1,41.648823,-0.889085
27,27777.506278904086,Barcelona,1,5,Hogar,987.2031483956221,Enero,2021,25,10,4.831736484227082,0,41.385064,2.173404
28,21654.33820454734,Zaragoza,0,8,Moda,28.195033183196312,Diciembre,2021,69,47,3.1186388957824795,0,41.648823,-0.889085
29,26140.904611216225,Barcelona,1,4,Libros,64.24267660938034,Octubre,2020,62,23,1.9675731764515567,3,41.385064,2.173404
30,38306.50865304077,Zaragoza,1,3,Libros,100.36527296729498,Junio,2021,34,21,3.00241428461883,1,41.648823,-0.889085
31,28328.764544248163,Valencia,1,8,Hogar,109.5768371042928,Diciembre,2021,34,21,3.718481330940431,2,39.469907,-0.376288
32,28410.765467447083,Valencia,0,6,Alimentos,105.87297548125656,Septiembre,2022,66,43,1.304956871894258,1,39.469907,-0.376288
33,31588.835162185595,Valencia,1,8,Libros,476.3494765423829,Enero,2022,50,13,2.098815260191568,1,39.469907,-0.376288
34,21938.863464127382,Valencia,1,3,Hogar,250.37552323388508,Noviembre,2022,49,37,4.227861963535974,0,39.469907,-0.376288
35,34726.90845043783,Madrid,1,3,Electrónica,187.25033352635052,Noviembre,2022,25,33,2.838659481610645,0,40.416775,-3.70379
36,36332.034276864375,Valencia,1,5,Alimentos,74.03099796587978,Octubre,2020,36,24,3.1863085681291796,1,39.469907,-0.376288
37,31886.481327302045,Sevilla,1,11,Moda,347.21619877554224,Diciembre,2022,55,44,2.731264008837877,1,37.389092,-5.984459
38,38256.75493239745,Sevilla,0,7,Libros,620.4876787596312,Diciembre,2021,20,11,1.1755997705720205,0,37.389092,-5.984459
39,23365.841169320513,Madrid,1,4,Hogar,344.29556217301325,Marzo,2020,22,17,1.6629991192806237,1,40.416775,-3.70379
40,39218.57898875923,Valencia,1,3,Electrónica,0.31326624960834965,Diciembre,2021,30,4,2.7821665549675636,1,39.469907,-0.376288
41,26346.292983851734,Valencia,1,8,Moda,202.34093701342425,Julio,2021,64,47,1.8367418616317113,0,39.469907,-0.376288
42,23600.40133368435,Valencia,0,8,Hogar,10.497829499008912,Abril,2021,63,25,1.199916114638715,0,39.469907,-0.376288
43,28813.040193966655,Zaragoza,1,3,Hogar,59.57536464449513,Septiembre,2022,48,30,4.374598656207295,1,41.648823,-0.889085
44,39360.028402361524,Barcelona,1,3,Moda,12.273978716393263,Marzo,2022,33,9,4.924770116656463,2,41.385064,2.173404
45,29902.789295502258,Zaragoza,1,6,Electrónica,185.1649336257584,Mayo,2020,67,21,4.172571495986958,0,41.648823,-0.889085
46,25337.041717194596,Barcelona,1,2,Electrónica,232.0485530889521,Marzo,2020,49,20,4.415139686818668,1,41.385064,2.173404
47,23525.2876276007,Valencia,1,7,Alimentos,24.3177722913626,Julio,2022,39,19,1.9679085212681815,0,39.469907,-0.376288
48,29474.40747626793,Valencia,0,5,Libros,96.84935922987209,Mayo,2021,46,19,4.842507902052799,0,39.469907,-0.376288
49,20025.192142211752,Zaragoza,1,5,Moda,121.84817715415785,Septiembre,2020,39,12,1.7877028178137135,0,41.648823,-0.889085
50,23499.035792032802,Zaragoza,0,6,Moda,92.10668962374787,Julio,2022,60,37,4.8057192414473295,2,41.648823,-0.889085
51,37715.338259295415,Barcelona,1,1,Moda,25.799764732823462,Febrero,2022,20,42,4.979277175863804,1,41.385064,2.173404
52,36616.31903575618,Sevilla,1,10,Electrónica,108.58293283677615,Abril,2022,27,17,3.846891222984195,1,37.389092,-5.984459
53,29357.93926730146,Barcelona,0,2,Libros,278.2035379456148,Septiembre,2021,59,37,4.924574927167288,1,41.385064,2.173404
54,27671.67614372727,Zaragoza,1,5,Alimentos,14.730958101447222,Diciembre,2022,38,39,3.2781591182684147,1,41.648823,-0.889085
55,30292.54451153422,Zaragoza,1,4,Hogar,16.715459112951958,Febrero,2022,33,28,2.0381671327043613,0,41.648823,-0.889085
56,41739.98464225161,Madrid,1,5,Hogar,87.63008774728607,Octubre,2022,29,41,2.7479835426624835,1,40.416775,-3.70379
57,32024.877543852625,Zaragoza,1,4,Moda,568.5188611055681,Septiembre,2022,19,35,3.374243741515144,0,41.648823,-0.889085
58,34548.69087479908,Madrid,1,5,Libros,220.8693277681835,Octubre,2020,58,47,1.29232624810806,1,40.416775,-3.70379
59,28987.712370842244,Sevilla,1,6,Electrónica,227.05730233993657,Mayo,2020,41,18,3.4893730584689844,0,37.389092,-5.984459
60,30304.483035585803,Barcelona,1,1,Libros,89.85831945796112,Febrero,2022,52,14,4.924711347049178,3,41.385064,2.173404
61,33235.81348393522,Barcelona,1,3,Libros,180.11339571468923,Abril,2021,47,35,1.7604305991349105,0,41.385064,2.173404
62,30630.474139120146,Madrid,0,2,Electrónica,2.0365707505086172,Diciembre,2020,47,44,4.170380465153533,1,40.416775,-3.70379
63,20513.11508755671,Barcelona,1,5,Moda,202.1730619852085,Diciembre,2022,64,41,4.631595175118477,0,41.385064,2.173404
64,36402.70380838732,Zaragoza,1,4,Libros,489.03017190796254,Julio,2020,52,7,4.774806371280883,2,41.648823,-0.889085
65,26924.33161114335,Valencia,1,7,Hogar,189.64580877856864,Diciembre,2020,36,41,4.840542417621789,0,39.469907,-0.376288
66,40556.58820808126,Madrid,1,7,Electrónica,413.8168226475087,Agosto,2021,67,13,3.0858385548858878,0,40.416775,-3.70379
67,33434.24256382985,Barcelona,1,2,Alimentos,257.45135858143215,Marzo,2022,25,18,4.909231631966015,1,41.385064,2.173404
68,30354.86207819873,Madrid,0,6,Moda,25.69362740519941,Enero,2022,43,37,4.0292408285377554,2,40.416775,-3.70379
69,32196.63570051717,Madrid,1,7,Electrónica,465.4848231963548,Abril,2021,66,13,1.6466857449478476,0,40.416775,-3.70379
70,29457.510557182435,Valencia,1,2,Alimentos,13.75083235802742,Febrero,2021,57,36,2.90760042587188,0,39.469907,-0.376288
71,27567.8361697382,Zaragoza,1,7,Alimentos,152.69996917856938,Agosto,2022,24,31,3.873324701488016,3,41.648823,-0.889085
72,31037.9913064286,Madrid,0,5,Libros,30.66220204150312,Abril,2022,47,2,1.9893612632763333,0,40.416775,-3.70379
73,34424.952335933325,Barcelona,1,7,Libros,2.355134522896405,Febrero,2021,24,16,3.5624607341955494,3,41.385064,2.173404
74,27677.35125677516,Sevilla,1,6,Libros,109.64813712874752,Junio,2020,20,9,3.666401916186477,2,37.389092,-5.984459
75,26888.814175468604,Madrid,1,5,Electrónica,69.92304383807553,Junio,2020,18,9,1.6507989752342636,1,40.416775,-3.70379
76,28222.5567954182,Madrid,1,6,Electrónica,133.10659484463184,Octubre,2021,53,38,3.260341249811025,1,40.416775,-3.70379
77,34760.05546923347,Valencia,1,5,Moda,172.1711514184815,Abril,2020,42,11,4.08650764391443,2,39.469907,-0.376288
78,37262.75123731185,Zaragoza,1,4,Libros,8.944893251182512,Junio,2021,54,22,2.9955826581437677,1,41.648823,-0.889085
79,31810.069559712352,Sevilla,0,7,Alimentos,26.250408776936297,Febrero,2020,18,33,1.0484124671044297,2,37.389092,-5.984459
80,32906.57067017862,Barcelona,1,1,Hogar,163.57996794564934,Octubre,2020,32,36,1.0361538763171687,0,41.385064,2.173404
81,26851.495713674434,Sevilla,1,8,Moda,84.06520323821158,Diciembre,2022,54,45,2.4281173758800487,1,37.389092,-5.984459
82,34383.77324976162,Barcelona,1,4,Electrónica,261.2553677122917,Febrero,2022,30,23,4.704776273727128,2,41.385064,2.173404
83,32758.68505232537,Zaragoza,1,5,Moda,211.27824425034203,Octubre,2020,57,45,1.914707118414435,0,41.648823,-0.889085
84,26449.36021036258,Barcelona,1,3,Moda,373.6473798994736,Abril,2020,25,45,3.5374547554867486,1,41.385064,2.173404
85,21061.64194034109,Valencia,1,7,Moda,235.8513728205395,Agosto,2022,22,34,1.8883034827732823,0,39.469907,-0.376288
86,23897.149478590727,Valencia,1,2,Moda,112.39960172080123,Julio,2022,26,9,2.2866799586381945,1,39.469907,-0.376288
87,26653.986359093935,Valencia,0,5,Hogar,223.53860822112298,Diciembre,2022,18,24,4.392168358405936,1,39.469907,-0.376288
88,35809.68658873387,Valencia,1,10,Libros,64.42190399602585,Septiembre,2021,53,8,3.9154457690797875,1,39.469907,-0.376288
89,37764.29887919663,Sevilla,1,7,Alimentos,73.14702957619889,Agosto,2020,52,7,1.3815971092528425,0,37.389092,-5.984459
90,27802.410622628613,Zaragoza,0,7,Moda,311.1653631700635,Mayo,2022,19,36,2.7148080839457345,2,41.648823,-0.889085
91,27960.42323614352,Barcelona,1,10,Moda,118.26962578313507,Febrero,2020,57,18,1.1166790545810579,0,41.385064,2.173404
92,31308.115279862333,Barcelona,1,1,Moda,320.2744460538693,Mayo,2021,40,3,2.923560586412036,0,41.385064,2.173404
93,30060.732545366125,Valencia,1,5,Libros,345.66948684437455,Agosto,2021,26,28,3.6497360468042723,0,39.469907,-0.376288
94,34654.670419870396,Valencia,1,3,Electrónica,389.7701664515891,Octubre,2022,51,6,1.4740104943926062,0,39.469907,-0.376288
95,27384.05953206445,Madrid,1,8,Electrónica,496.9059101986354,Septiembre,2021,63,44,2.1555397556366627,0,40.416775,-3.70379
96,34745.71493890499,Zaragoza,0,7,Hogar,112.76977413996185,Diciembre,2020,31,44,2.5913465020086277,1,41.648823,-0.889085
97,28803.876010651224,Sevilla,1,3,Electrónica,76.79948482862943,Diciembre,2022,21,21,4.678124098624199,2,37.389092,-5.984459
98,34269.873555339276,Barcelona,1,1,Moda,174.54988597001665,Diciembre,2020,47,28,4.973020061691856,5,41.385064,2.173404
99,28644.797688557286,Madrid,0,5,Moda,92.779636594518,Septiembre,2020,48,40,1.1796451959824634,0,40.416775,-3.70379
100,26934.526585458112,Madrid,1,3,Moda,183.79595221505267,Enero,2021,55,1,4.044031693981568,2,40.416775,-3.70379
101,39561.588199199854,Barcelona,1,6,Hogar,244.5535744738922,Septiembre,2021,28,36,2.486896265609373,1,41.385064,2.173404
102,35326.13541273459,Sevilla,1,3,Moda,233.21021413481745,Julio,2021,52,21,2.56983274491792,1,37.389092,-5.984459
103,21039.774499323925,Madrid,1,4,Electrónica,93.85770084815597,Septiembre,2021,25,43,4.01705989338809,1,40.416775,-3.70379
104,27766.13244105046,Madrid,1,5,Libros,36.510765160963274,Agosto,2021,20,35,4.673705728581634,0,40.416775,-3.70379
105,36024.61460889287,Zaragoza,1,8,Libros,112.60960271957221,Enero,2022,31,13,4.803714378010193,1,41.648823,-0.889085
106,24016.697653932388,Sevilla,1,7,Alimentos,30.768778997220103,Diciembre,2020,30,10,3.308490344153283,2,37.389092,-5.984459
107,33853.39164761556,Madrid,1,5,Electrónica,441.63148810741336,Agosto,2020,62,44,2.4284846372020112,1,40.416775,-3.70379
108,33335.280517348954,Sevilla,1,4,Moda,84.89211523478801,Agosto,2020,49,47,4.150196343435117,1,37.389092,-5.984459
109,26504.267109540415,Barcelona,1,6,Libros,33.55590070503998,Noviembre,2020,51,10,2.004005533049201,1,41.385064,2.173404
110,29955.914768770963,Valencia,0,8,Electrónica,5.1554308793353325,Marzo,2021,62,46,3.256296115334071,1,39.469907,-0.376288
111,19549.9112568486,Madrid,0,4,Libros,207.59135160412146,Enero,2020,36,13,2.4343138460994926,1,40.416775,-3.70379
112,38852.15758283359,Zaragoza,1,3,Moda,202.61667659936398,Agosto,2022,55,37,3.6265242948315044,1,41.648823,-0.889085
113,28454.53745401539,Barcelona,1,2,Libros,83.28625342214832,Marzo,2022,33,38,1.9615956515740276,0,41.385064,2.173404
114,34019.065256881295,Sevilla,1,3,Alimentos,14.882625955254905,Marzo,2020,19,24,1.766371782939303,1,37.389092,-5.984459
115,33069.206707377125,Barcelona,1,9,Alimentos,105.40078962234925,Enero,2020,57,2,4.672956346701748,2,41.385064,2.173404
116,36789.40394049994,Madrid,1,5,Libros,74.56594510565667,Noviembre,2022,34,22,1.4072147317981476,1,40.416775,-3.70379
117,27833.4829654872,Sevilla,1,4,Electrónica,226.0953046317403,Mayo,2022,51,17,3.0238316309397266,1,37.389092,-5.984459
118,31019.113637637336,Valencia,0,7,Electrónica,186.16884920116712,Octubre,2021,59,36,1.8834111318520357,0,39.469907,-0.376288
