ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud,Day_of_Week,Hour,Days_Since_Last_Purchase,Average_Days_Between_Purchases,Monthly_Spending_Std,Cancellation_Rate,Average_Transaction_Value,Cluster
1,31161.480790882026,Rome,1,3,Electrónica,354.2382400804678,Julio,2022,53,54,2.9384719076328056,0.1930232558139535,41.91125207514188,12.501644241166282,Sunday,19,29.764254381808414,2.60776939796666,73.15443868829104,0.2712632392622982,207.47098641318576,1
2,30880.90461026161,Stockholm,1,14,Moda,247.3498662125953,Abril,2022,55,28,3.423618372451907,0.1930232558139535,59.331134339377854,18.06244046738273,Thursday,21,23.066845920479686,5.692094816902705,139.00390898582913,0.18822372324986236,35.3356951732279,0
3,24237.173141699925,Stockholm,1,2,Electrónica,314.97761637612723,Noviembre,2021,28,36,3.794706550477663,0.1930232558139535,59.33263371303785,18.0710675913192,Sunday,11,28.63592146553153,5.626180440335532,32.05628077952837,0.1887231840335198,75.16701061159047,1
4,22496.15803396413,Madrid,1,0,Libros,225.6690435879292,Agosto,2020,50,1,3.8983509635353712,0.1930232558139535,40.42294815022744,-3.7044128479207057,Sunday,20,183.22948250926865,35.43634159922568,37.07423091726427,0.311975537488802,84.95479903193203,2
5,30825.11399054669,Paris,1,11,Electrónica,278.43056950702294,Mayo,2020,41,43,3.417591471270217,0.1930232558139535,48.85774626415957,2.345577701084724,Wednesday,25,24.527617599267924,61.67689729184127,210.7125761731138,0.12808091884053585,92.81018983567432,0
6,25720.35541085316,Berlin,1,6,Libros,242.24446548715983,Julio,2021,40,44,2.912596712038579,0.1930232558139535,52.52077250770569,13.39290223622714,Saturday,10,21.91485974944511,39.39991997412909,23.431350510168738,0.0839454633852244,75.16701061159047,1
7,29801.819289801904,Madrid,1,0,Hogar,338.464156367655,Octubre,2020,32,9,3.642793856087097,0.1930232558139535,40.435110463841625,-3.722653382718078,Friday,19,42.22230787966645,93.36240940960695,8.190151894028268,0.2681808881789455,86.23383882472851,2
8,27326.68629074968,Stockholm,0,13,Hogar,244.0440983149749,Marzo,2021,44,27,3.4496906188490124,0.1930232558139535,59.32099932579779,18.067324920527145,Sunday,23,60.5010274506101,21.140846006412023,85.1991386335051,0.21181487473994548,244.0440983149749,0
9,21057.51747509752,Paris,1,5,Alimentos,173.10729027983632,Julio,2021,28,34,2.1198422008847886,0.98,48.86293229758024,2.349708672997341,Sunday,0,9.822232759050195,35.43634159922568,6.238748037872128,0.1277051895328171,75.16701061159047,2
10,31786.52270968317,Vienna,1,6,Moda,306.7883972176448,Noviembre,2022,68,69,4.071314913158259,0.1930232558139535,48.20373508263902,16.37496342367781,Wednesday,23,64.15544307102617,91.32761421766034,29.22624708972405,0.2219587771305331,187.5687993537973,1
11,27927.340973050545,Paris,1,13,Alimentos,220.42530409200708,Noviembre,2021,67,4,3.657883583065154,0.1930232558139535,48.850480093416486,2.3695147076050653,Sunday,20,33.36477026944847,11.3886930479334,106.32245114117312,0.07251345944846921,55.10632602300177,0
12,30400.993562704072,Stockholm,1,4,Libros,395.0371310241315,Agosto,2022,34,61,3.941225623991536,0.1930232558139535,59.33775290279208,18.06864743639944,Sunday,12,10.426862528012856,148.62915478133598,8.681838578673043,0.0795188795925588,75.16701061159047,1
13,25534.398631853885,Madrid,1,8,Alimentos,227.02425675780268,Mayo,2020,68,18,3.132364740578598,0.98,40.4064730396411,-3.6895720551626017,Wednesday,19,42.22230787966645,35.43634159922568,17.026298828339762,0.3810345780144133,137.35826121297907,2
14,28325.91376302633,Vienna,1,12,Electrónica,324.8399769392835,Abril,2020,31,15,1.7216480934019998,0.1930232558139535,48.198934258869656,16.373295380120872,Friday,20,69.83984597261086,157.61371152957668,65.60313062680865,0.2923348697622541,64.96799538785669,0
15,37801.9007056644,Rome,1,10,Libros,388.49251123903264,Agosto,2020,44,38,3.5795419291725925,0.6,41.89952646788541,12.50481071770205,Sunday,6,60.538501421037445,1.9853549378325848,3.6060373233594376,0.054843040469734,24.72206843272545,1
16,30642.75500035541,Amsterdam,1,4,Hogar,257.2008474794557,Agosto,2020,35,19,3.4957818383409864,0.1930232558139535,52.357840060545456,4.905156297514367,Wednesday,19,63.0935014424299,45.7974553122004,41.8847806456439,0.4004638395665049,64.95841605669571,2
17,32747.88172531334,Berlin,1,8,Moda,327.1810817924969,Marzo,2022,45,6,2.604664186196774,0.1930232558139535,52.52962654324267,13.40440071950096,Saturday,20,41.48279710798711,33.756446265722566,193.06577986181972,0.26869403324855945,54.530180298749485,0
18,23645.6409656198,Paris,1,10,Libros,275.6565486217354,Junio,2020,68,12,3.190750227066697,2.98,48.84001612120651,2.371098455601116,Saturday,8,42.22230787966645,169.05728735667148,33.40460327880337,0.1967955295919656,75.16701061159047,2
19,41945.17978696231,Stockholm,1,3,Libros,410.0387311153078,Mayo,2021,64,62,5.0,0.1930232558139535,59.32966020862752,18.07088372488638,Tuesday,18,8.416006776608205,3.449761917950472,52.48330763573065,0.3858471038028843,190.1450809072843,1
20,39217.068791602665,Stockholm,1,9,Electrónica,451.8263352085781,Febrero,2021,64,17,3.4871946929230986,0.1930232558139535,59.32403219565416,18.068269961702136,Thursday,21,51.49157224663401,36.31993486800069,194.33073230447053,0.21181487473994548,90.3652670417156,0
21,36817.17745475852,Lisbon,1,7,Moda,419.24754418667845,Agosto,2021,21,23,3.575479488188108,0.98,38.7180489695175,-9.16480624947988,Sunday,18,10.316519455345507,102.76088495652024,33.40460327880337,0.0818668012630086,75.16701061159047,2
22,34143.829888024375,Amsterdam,1,5,Hogar,387.3840416131602,Diciembre,2022,24,51,2.9146700863158084,0.1930232558139535,52.35972320707095,4.910849450392375,Saturday,19,210.036627265464,33.31997699314698,63.58400480949837,0.3390482131401717,121.9775924255238,1
23,30075.71639129932,Lisbon,1,16,Libros,277.7743252993434,Junio,2020,62,29,2.5748485505734218,0.1930232558139535,38.70668919713239,-9.157602503710082,Tuesday,21,86.21970429040302,44.66827306715344,181.546459063147,0.21181487473994548,25.2522113908494,0
24,32210.370084333656,Paris,1,4,Libros,268.11157845426226,Febrero,2020,52,33,3.434870876602047,0.1930232558139535,48.856796458050006,2.3629498852545003,Saturday,23,42.22230787966645,35.43634159922568,33.40460327880337,0.1788198407358269,75.16701061159047,2
25,35240.09871997476,Rome,1,2,Electrónica,321.72160693160794,Diciembre,2020,65,52,3.517197719856948,0.6,41.89403893037158,12.497936158392765,Friday,18,36.285055329884266,27.27574900546279,30.91852108643708,0.3139357340537689,240.9786523349328,1
