ClienteID,Income,Ubicacion,HaComprado,FrecuenciaCompra,CategoríaProductoFavorito,GastoMensual,Mes,Año,Edad,TiempoEnLaPlataforma,ValoracionesPromedio,NúmeroDevoluciones,Latitud,Longitud
1,31161.480790882026,Europa,1,3,Electrónica,131.5718605257502,Julio,2022,53,29,1.302420162467003,0,40.08516883091833,-6.499201530848061
2,30880.90461026161,Europa,1,6,Moda,43.6555100891286,Abril,2022,55,28,2.4627229930454853,0,55.99120366921822,-0.551125603753329
3,24237.173141699925,Europa,1,2,Electrónica,188.7221450279832,Noviembre,2021,28,11,1.9015250720270633,1,47.20678843026988,13.450176060376965
4,22496.15803396413,Europa,0,5,Libros,65.89068558228242,Agosto,2020,50,1,1.7833323365370801,2,35.60854256271757,38.369396574624695
5,30825.11399054669,Europa,1,2,Electrónica,46.38453970985004,Mayo,2020,41,43,1.5632117955707043,1,58.30439066766472,5.016827567899355
6,25720.35541085316,Europa,1,6,Libros,145.37083786488412,Julio,2021,40,19,3.4896545662639866,1,39.46505146889581,8.748913944056923
7,29801.819289801904,Europa,0,4,Hogar,1.1042023874619544,Octubre,2020,32,9,4.125287422989221,3,48.59262233568069,-1.512558494673474
8,27326.68629074968,Europa,0,3,Hogar,1.5387104540800602,Marzo,2021,44,27,3.3131935976814426,4,59.93365005093334,14.299537937397925
9,21057.517475097517,Europa,1,5,Alimentos,49.45364737348612,Julio,2021,28,34,1.5878508383528387,1,63.771133896639085,12.564246617328816
10,31786.52270968317,Europa,1,6,Moda,7.482513167639166,Noviembre,2022,68,44,4.244495079733884,0,38.48399621918209,13.497890788390784
11,27927.340973050545,Europa,1,3,Alimentos,22.863603832553245,Noviembre,2021,67,4,3.543818828654914,0,44.625407274190884,1.730764651284236
12,30400.993562704072,Europa,1,4,Libros,82.75812868100617,Agosto,2022,34,36,2.552662824507982,4,35.87125782378093,32.148925809501726
13,25534.398631853885,Europa,1,8,Alimentos,324.4901218851292,Mayo,2020,68,18,3.696521182144252,2,41.261064306140575,39.49541358320506
14,28325.913763026332,Europa,1,4,Electrónica,169.74914851826256,Abril,2020,31,15,2.0396199169713314,0,44.621988517351646,16.10212815643566
